name,unit,category,brand,stock,status,image
Sony WH-1000XM5,pcs,Audio,Sony,45,In Stock,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=300&q=80
Herman Miller Chair,pcs,Furniture,Herman Miller,12,In Stock,https://images.unsplash.com/photo-1505843490538-5133c6c7d0e1?auto=format&fit=crop&w=300&q=80
Nike Air Zoom,pair,Footwear,Nike,150,In Stock,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=300&q=80
Apple Watch Series 9,pcs,Wearables,Apple,0,Out of Stock,https://images.unsplash.com/photo-1546868871-7041f2a55e12?auto=format&fit=crop&w=300&q=80
Canon EOS R5,pcs,Electronics,Canon,5,In Stock,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=300&q=80
Ray-Ban Aviator,pcs,Accessories,Ray-Ban,30,In Stock,https://images.unsplash.com/photo-1572635196237-14b3f281503f?auto=format&fit=crop&w=300&q=80
MacBook Air M2,pcs,Electronics,Apple,25,In Stock,https://images.unsplash.com/photo-1517336714731-489689fd1ca4?auto=format&fit=crop&w=300&q=80
Adidas Ultraboost,pair,Footwear,Adidas,8,In Stock,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&w=300&q=80
Mechanical Keyboard,pcs,Electronics,Keychron,60,In Stock,https://images.unsplash.com/photo-1587829741301-dc798b91add1?auto=format&fit=crop&w=300&q=80
Leather Messenger Bag,pcs,Accessories,Fossil,15,In Stock,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=300&q=80
